	V350166995_163.27	V350166995_164_1	V350166995_166.87	V350166995_168.28	V350166995_169_4	V350166995_57_4	V350166995_72.48	V350166995_86.77	V350174473_26_1	V350174473_37.114	V350174473_42.57	V350174473_52.35	V350174473_66.56	V350174473_72.72_sub	V350181201_19_1	V350181201_30_2	V350181201_31.45	V350181201_44_2	V350181262_107.4	V350181262_108_1	V350181262_110_3	V350181262_117_2	V350181262_130_7	V350181262_134_29	V350181262_140_9	V350181262_142_6	V350181262_145_2	V350181262_149_1	V350181262_150_0	V350181262_158_8	V350181262_160_0	V350181262_98.46	V350181262_99.39	V350181321_113_0	V350181321_126_25	V350181321_132_0	V350181321_139_33	V350181323_162_0	V350181323_32_0	V350181323_34_8	V350181323_49_5	V350181323_51.95
V350166995_163.27	1.0	0.8031543130835189	0.8544307864467665	0.8159050979003114	0.919260493349236	0.908987582419477	0.8150434058932963	0.8752392848802675	0.866005168898216	0.8262892858990012	0.8230042614415553	0.817022570437601	0.8763658476569908	0.8350666957136387	0.8284762721241539	0.8758777958363568	0.8466031499246921	0.7957630080542656	0.8190559629619761	0.83269069519957	0.8647391179646641	0.8349237595349559	0.8106277437242084	0.8376749675180668	0.868192782036433	0.8627825222906776	0.8708145324717458	0.8208110060857585	0.8586069678252543	0.8707499604261129	0.8189067576526494	0.8192923091872543	0.9302255163020906	0.9440207382841703	0.7826827804221319	0.8431024673730932	0.8308344056158873	0.9115256399606926	0.9061890425000039	0.8636752464943805	0.8629546099268549	0.9511825931318539
V350166995_164_1	0.7428994392002508	1.0	0.7427659154504395	0.7246815748836021	0.764765404576962	0.7617654742415271	0.7300120751912873	0.7545160054338361	0.7536512940192971	0.8655131375759053	0.8884443902608938	0.8761323394522043	0.7394359492377536	0.7421624461550965	0.7350180547331266	0.7513274002345374	0.7241422550419729	0.8580288411299593	0.8885021537961383	0.734927490798472	0.7557641622255507	0.8623413679798437	0.7315853332868902	0.7568419311017451	0.7580363881245138	0.751834500214799	0.7544367619910133	0.8294776899230206	0.7449806680831795	0.7434448546913279	0.9815403415885843	0.7347785827905302	0.7640266699176798	0.7819144983570774	0.7045131027436228	0.7355675339905023	0.7292074494641634	0.7535404112531494	0.7602705887816829	0.7471846807621303	0.7633657273561136	0.7588230171723153
V350166995_166.87	0.8307645111771459	0.7795543384709777	1.0	0.826216168180042	0.8273802639956273	0.8254604950009313	0.8237677627326213	0.8823097608749375	0.8958096202704232	0.7974783706432382	0.8017945031547757	0.7676872566050644	0.8007147091799531	0.7801569292461041	0.861083044312943	0.7970787738312478	0.853729915162523	0.7675831727439062	0.7858626726057364	0.8533394485137921	0.9006808667081379	0.8027875605786332	0.7883500334163975	0.7863846136054041	0.9186006381375441	0.9059072764966468	0.8897252794742974	0.7994605290868741	0.889755713351829	0.7887639341508279	0.7969756029864156	0.7983153022753584	0.8508003501113272	0.8574696300336112	0.7719321738431779	0.8550592669331051	0.8584136889146428	0.8261102582862319	0.822771966259786	0.7883524681266001	0.7991294084993299	0.8548982717209628
V350166995_168.28	0.914916618503964	0.8791092154427484	0.9557397351958977	1.0	0.9334732833143903	0.9279077243606072	0.9210899936934673	0.9696668077877773	0.957670342256755	0.8906893444192456	0.8846666936026463	0.865894306729369	0.8982965335150926	0.8958434855626077	0.9227026390818813	0.9052930956643027	0.9178123534258175	0.8675926788007399	0.8821778090859744	0.9263776436053691	0.964071385030505	0.887264844506202	0.8920521878749444	0.9034921326444749	0.9691661499057533	0.9673599168029569	0.9622029649486782	0.8597402551774174	0.9503927090158822	0.9087151362052943	0.8846832065292815	0.8969835801781639	0.9369195662370378	0.9433659317243185	0.8713590314290182	0.928369383628663	0.9317085081976141	0.9105645839884339	0.9305540086886102	0.8886182018125572	0.9090706911362475	0.9288370156574165
V350166995_169_4	0.9141745356503518	0.8224260259337726	0.8473548288804346	0.8276041637397981	1.0	0.9814993809087622	0.819625910295147	0.8595524560407757	0.8540527529423224	0.8259694881367383	0.8256585376209539	0.8092908642363823	0.9067953926874179	0.8672647156707196	0.8462309113535027	0.9231309095427467	0.8416606256099594	0.8195615972366614	0.8294570666626705	0.82373351665677	0.8683368081116875	0.8406825051622157	0.8302497407184706	0.876957567742568	0.8552672082700349	0.864548581647301	0.8628055728826174	0.8159750515284966	0.8667667577664262	0.909693538910337	0.8301582663197508	0.8315391238813118	0.942966492896529	0.9770414869179121	0.7855087693665039	0.8269610331549426	0.8401464589417318	0.94062250045425	0.93174167879561	0.8958434407860929	0.9043658576333669	0.9375872987329079
V350166995_57_4	0.9087362755299934	0.8233552288865653	0.8498392038771824	0.826561423240249	0.9865909088056275	1.0	0.8216302166166035	0.8573787972550433	0.8542689424987542	0.8261726129432719	0.8274507601100092	0.8101830640636356	0.9011643597464919	0.8691774167431316	0.8474674296846463	0.9229647240168654	0.8390093151290198	0.8209100232093701	0.8295030759633019	0.8238466549762069	0.868286510824554	0.8395471850636594	0.832384163401999	0.8789880513794449	0.854925432523997	0.8644370064556944	0.8599423092130781	0.8139723169579031	0.8666691353034729	0.906942538921825	0.8309914756715843	0.8335678538299226	0.9393713260721939	0.967100184394617	0.7879443075536521	0.826586528021329	0.8424615363372877	0.9358419076621047	0.9254984240473677	0.8943041645066094	0.9044464960629427	0.9326253575862256
V350166995_72.48	0.9261189956039936	0.8969910407613801	0.9643316975630315	0.9332772586091875	0.9364049873938838	0.9338149484185038	1.0	0.9844084217627455	0.9898698241561782	0.9040230821535119	0.9007356152822283	0.8844038221615915	0.9219251577146187	0.9069604088439277	0.9576740423113388	0.9216648702074562	0.9587208972716521	0.8813049745934434	0.9039531967406299	0.9256465559505824	0.9940764981417968	0.9033327854221881	0.9078250625492273	0.918502555274548	0.9875069127726646	0.9878816554713326	0.9869282187670145	0.8740090801118594	0.976482845448766	0.9145101727845522	0.9022192540730538	0.9150517847343873	0.9476686618476633	0.9488328244653141	0.8955366397453318	0.9495577073448499	0.9648005716341527	0.9211428689602156	0.9448793068222782	0.9070712984531434	0.9219369241361753	0.9578213008599115
V350166995_86.77	0.8753598904099957	0.8157970073691996	0.9073532532335203	0.864575420348232	0.8642580638680701	0.8576042505050708	0.8661248482276378	1.0	0.9173190628598119	0.8406857913445493	0.8251259067103788	0.8178615509597287	0.8438081898689516	0.8228039622160586	0.882499626454786	0.8475329692889332	0.8854474946102762	0.8088405909924751	0.8227480873857235	0.8772590068343079	0.9292266797920201	0.8303655846202332	0.8335426023608058	0.8313911074893618	0.9384340984627516	0.930067627378918	0.9376383529857877	0.8102208248631695	0.9207864413760024	0.8412605487285023	0.8209233661006776	0.8382191373177319	0.8855306790486965	0.8801211793230482	0.8064991844785999	0.8847744854179249	0.8820099369305004	0.8583660943995841	0.8723583447489588	0.8325942997628145	0.8498910126904924	0.8727089750044889
V350174473_26_1	0.8645388468830099	0.8137366064812741	0.9210050665011565	0.8523919017441535	0.8571140775794086	0.8526478742532699	0.8699014239528233	0.9157944437360206	1.0	0.8397063804202649	0.8345957028575869	0.8124981005711915	0.8459994817888249	0.8192260732281893	0.8874325644027773	0.8346217074086966	0.8861348433100472	0.8003953318384371	0.8240851645915765	0.8790183689256267	0.9379453083560142	0.8293484230746214	0.8268754842564374	0.8361653751595128	0.9541589893190223	0.9286005885801171	0.9444082225763993	0.8252230986835117	0.9096905803056569	0.8335404820366514	0.8276891447291125	0.8346332997989504	0.8953927768129637	0.8904055425410958	0.8124319926159607	0.9064002213206614	0.8865609419788335	0.8550810229751775	0.8698168308347555	0.8285523078412494	0.8363843773429552	0.8931256812487448
V350174473_37.114	0.7718594897534719	0.8743452918912786	0.7668630852065209	0.7415741371279116	0.776148529587222	0.7723417172516961	0.7429727434464697	0.7850836628065992	0.7859657433793389	1.0	0.8587149648530906	0.8608968610654208	0.7576389086356246	0.7422489624780103	0.7469246637525859	0.7682282727197308	0.7491212173356828	0.8454605976161839	0.8520098040221584	0.7711571085463318	0.775645488622509	0.9305870892601633	0.7468481522771838	0.7544946094587531	0.8043393439302216	0.7717627511064117	0.8045630154081213	0.9293503003148696	0.772670921799116	0.7592289402163955	0.8824420235028009	0.7511322086048733	0.7970874631696916	0.7878108132114504	0.7146954506159466	0.7802109664689192	0.754975664367316	0.7856872533347717	0.7818124307988883	0.7449995646760882	0.765511089327001	0.7789307917061561
V350174473_42.57	0.7629149612005861	0.890234390223048	0.7629661469951321	0.7305748455555898	0.769498443195692	0.7670679904398896	0.7348110517110306	0.7646922134191704	0.7750855471674188	0.8519552682688208	1.0	0.8663879173605347	0.7499495412763992	0.746492755174273	0.7424537306591857	0.7566522629065272	0.7312449141387379	0.8680107397103466	0.8726791168356477	0.7510538166280544	0.7598295629372969	0.8402918869933987	0.742613104610386	0.7591781073703473	0.7883275448791812	0.7564800925066905	0.7750526835606932	0.8276062439689466	0.7556055715737363	0.7524727682848164	0.9194957966574513	0.7455685025886634	0.7878790875201471	0.7876400265933469	0.7145065776654276	0.7506862095581328	0.7417537067530932	0.7712128764846061	0.7695667878645461	0.7416330129761806	0.7688452426584739	0.779044593878528
V350174473_52.35	0.7446584401778761	0.8637023889840133	0.7207042516553981	0.7032761338114752	0.741755040838348	0.738760123789142	0.70898998481664	0.7452758987253585	0.7415419761705043	0.8396057760258492	0.8523210178142082	1.0	0.7189236602164795	0.7182275536372427	0.7075176936621984	0.7278020220265967	0.7073535337704638	0.8295714311453641	0.8339085126055635	0.7027856560861708	0.7269506213337505	0.8336668486534456	0.7152403583947908	0.7374002278218985	0.7319203189620976	0.725156588231223	0.7332167245182523	0.803898425638	0.7230079240036938	0.7237452135522856	0.8727429087359659	0.7184637837253485	0.7421600067036722	0.745402307561851	0.6861414446242068	0.7163148335049767	0.7084886393633113	0.7326398769544393	0.7368588433705858	0.713017908013834	0.7409004942242315	0.739971589471002
V350174473_66.56	0.926859315463096	0.845396269331983	0.8719041017424727	0.8470718323772839	0.9643755240285238	0.9534043383335685	0.8582306306605457	0.8924564796905222	0.8968592324486764	0.8574884817492798	0.8557245913615195	0.8342321581258665	1.0	0.8910880699977586	0.850935323465686	0.9461206531574534	0.8589681307643138	0.8441669918064768	0.8535210566075327	0.8614310025651456	0.8915303708254124	0.8600592722955978	0.8503791268543346	0.9019928441570301	0.9022797419911839	0.8881706112351716	0.8978334896771569	0.8361969434090701	0.8971208938992703	0.9340822340840604	0.8552258407285346	0.8625291173076763	0.9800499746806021	0.9886721843584231	0.8095041548717012	0.8691500153576677	0.8581107578386366	0.9614168901138128	0.9662211006051751	0.9147916753140021	0.915778882791941	0.9466250487709715
V350174473_72.72_sub	0.9228819532920466	0.886718187407908	0.8889869049333614	0.8823299690903249	0.9638151152742541	0.960879596290839	0.8818868196270897	0.9092218710878212	0.9073589122896425	0.8780535767701051	0.8904150233207405	0.8709167931489094	0.9310251708895118	1.0	0.8859914915303059	0.9505157844299436	0.8701963290606339	0.8817992283659971	0.8872489281322358	0.8787598462271362	0.9092381429821743	0.8755511671448988	0.8888529214628363	0.9623745333082215	0.9096961794976901	0.9061994532643497	0.9086028466813645	0.8446165649269357	0.8965453729656669	0.940290110565791	0.8948548270055283	0.8935735018778459	0.9582317782480086	0.9659661212235356	0.848621528200924	0.8846738142982175	0.888064253902485	0.9484814514252795	0.9591803950677464	0.9254491042841474	0.9557352542016109	0.9384008397682329
V350181201_19_1	0.8843721616083993	0.8484732659344727	0.9470777118720501	0.8782082940631535	0.9083436517092964	0.9049599620189885	0.8997472961831564	0.94216981951308	0.9494029088599896	0.8537637177401969	0.8551739237288448	0.82892015303719	0.8589230733639046	0.8557838059669215	1.0	0.8812198181216498	0.9396991091159457	0.835182594182213	0.8525868696612253	0.8940477974667926	0.9607422256778863	0.8643325511149378	0.8657313574355844	0.8667734212046566	0.9562457272200267	0.9592455163261686	0.9525063008312035	0.8441759263822852	0.9404414286734508	0.8632613176071561	0.8530358154098701	0.8691026416048319	0.8939512355731334	0.9195139852132894	0.8522790786251866	0.9122681550609665	0.9311567343706361	0.8987474782425601	0.8996091590297273	0.8559397131910588	0.877392882516698	0.9106068210919339
V350181201_30_2	0.9201818451351484	0.8535846881125332	0.8621996013901929	0.8476990990100641	0.9751399252194825	0.9698545568348405	0.8522630165867799	0.8903585841116107	0.8784935184727644	0.8638035940768559	0.8579736785755464	0.838863467905322	0.9396573932236333	0.9035104017393882	0.8664057584292797	1.0	0.855767818023093	0.8516291940505015	0.8606460114312069	0.857289453311591	0.8847233614995635	0.8573092190871506	0.8662726688738449	0.9119269984022664	0.890394162507618	0.8811138014527845	0.8921513399548682	0.8296585462272076	0.8852023521272916	0.9413806394228393	0.8605883612524913	0.862560326794156	0.9766790202763914	0.9802500370608291	0.8147739289420368	0.8621646818533709	0.8592999621155969	0.9686656454349294	0.9671654230699543	0.9261026832040322	0.9433334980481297	0.9384978010574689
V350181201_31.45	0.8794688920778446	0.8132134984819476	0.9136913742590381	0.8498832631259254	0.8791159249191226	0.8718324704341072	0.8763818974170438	0.9196963830000316	0.9214471914481472	0.833044250403123	0.8193959694543135	0.8061933013879569	0.8433765321205008	0.81782262323757	0.9144674453039546	0.8462857383325922	1.0	0.8000473667573442	0.8181648252241684	0.8788314634011877	0.942077175845172	0.8382359993227728	0.8250179990415735	0.8287450321177279	0.9452307188427375	0.9339021693779134	0.954467562742196	0.8118658946624645	0.9167163876257934	0.8339680979017374	0.8230668931484899	0.836676680451524	0.8744846173845786	0.8968781327058651	0.8228434342725892	0.9081926548251948	0.8968621480563481	0.8762869681719531	0.8781858792911036	0.8317775484832362	0.8404568869536226	0.8975383965961178
V350181201_44_2	0.7693482414155578	0.8953046318861173	0.7644466929752843	0.7467504056130431	0.7967380904688045	0.7928353698204531	0.7486742308481352	0.7819777698030242	0.7740301143099555	0.8745431747170996	0.9040813658856586	0.878291880416621	0.7716279047249608	0.7708076011369873	0.7563111331929749	0.7836870634099817	0.7446338347543658	1.0	0.8924676099603193	0.7551525413676891	0.7768919480742685	0.8693224007934947	0.7623845871279813	0.7788203120603086	0.7872805438270869	0.7736524902310951	0.7789101793290758	0.8379980598352615	0.7858438778603964	0.7752392375624608	0.9050317803341368	0.7653732033354373	0.7932217688178127	0.805855230789434	0.7250176557411872	0.7600634698932547	0.7537766946636998	0.7846855886185071	0.7913466595095607	0.7653847015045052	0.7876276069828986	0.7852532350703839
V350181262_107.4	0.7502136898298586	0.8797775556412678	0.740173573049157	0.7202097408073136	0.7639634160711997	0.7601348185950102	0.7284681988720856	0.7535637485478576	0.7558854519044118	0.8349915012666188	0.8624912411599664	0.8377219025896275	0.7392139088367858	0.7352841428063123	0.7315371699591474	0.7503004878508638	0.7210429443268296	0.847138913047352	1.0	0.7254294059049096	0.7516958666322541	0.833439771083153	0.731836364462016	0.7473571152246603	0.7557009342571095	0.7479132548625573	0.7540408502527202	0.8053919390505446	0.7446347614002877	0.7457711831719905	0.9121224645349609	0.7360466433020956	0.7707158422483331	0.7827620854747823	0.7034657702519614	0.7364576405538749	0.7289631200382142	0.7544256931339316	0.7623294864373781	0.7450443215987391	0.757039405726715	0.7689100410364949
V350181262_108_1	0.866469347730364	0.8273003084891349	0.9137229974011652	0.8593261452708132	0.861942945842583	0.8575929354550835	0.8475542991835033	0.9129932592314818	0.9159968145001652	0.859634830396306	0.8432493666238536	0.8025672802913204	0.8475062814973156	0.8274633073014321	0.8714086363891745	0.8491588085342128	0.8803366595108337	0.812717957830672	0.8245339017930523	1.0	0.9127900823552316	0.8378540732717226	0.827585148096997	0.8338346336217879	0.9953550238259186	0.9105146320015993	0.9284134695162822	0.8290932954244045	0.9030807102175104	0.8371981582114163	0.8357527278618868	0.8352434790675554	0.8939063922973098	0.8866403690894148	0.8146641440504454	0.9091547841947989	0.8669799031284012	0.8781183730693297	0.8795513906836543	0.8311623023925221	0.844776459704995	0.8706929442093284
V350181262_110_3	0.8859411607455644	0.8372168433662928	0.9494027963331061	0.8804405625607393	0.8944215847088581	0.8897200675165534	0.8960194250026781	0.9518174106365915	0.961847421210582	0.8507980033269306	0.8397385808463117	0.8171471714816873	0.8634961208864137	0.8427705206025534	0.9216418090498818	0.8626677659927986	0.929055183233711	0.82435048129832	0.8408107776853094	0.8983475043677626	1.0	0.8615260838501034	0.8495295748432318	0.8535484632649536	0.9612336343612548	0.9839865327187315	0.9614118512975898	0.8431124783702866	0.9609077611545627	0.8514873876131509	0.8411858696487872	0.8580733719770274	0.9046053636864012	0.9146691518385779	0.8326201975119758	0.9199503566108028	0.9262567913037856	0.887645802524697	0.883980452754658	0.8499934535836563	0.8614456610448982	0.9094075702308231
V350181262_117_2	0.7992413991331476	0.89290328349002	0.7912566479586723	0.7563920313905462	0.8090101404809753	0.803987305046718	0.7607115918556918	0.794794325075053	0.7956446157160353	0.9532583173366281	0.8676936961480094	0.8760384857025759	0.778442581979239	0.7581481185894416	0.7746573784765456	0.7812202780816435	0.7722508219376185	0.8608853703804825	0.8712307732004232	0.7705220376492135	0.8049135037795029	1.0	0.762168547167128	0.7719579907218109	0.7943997830168696	0.8025426510466016	0.7942830705753233	0.9479900557399419	0.8009845849567564	0.7763339571998376	0.8937061690776237	0.7670134636352235	0.8027076686374768	0.8187377774470759	0.7325376885175959	0.7730327052863836	0.7746357761737401	0.8048753997176099	0.7914513687159052	0.7604247612795524	0.7812223783055273	0.8094295851937816
