	V350166995_163.27	V350166995_164_1	V350166995_166.87	V350166995_168.28	V350166995_169_4	V350166995_57_4	V350166995_72.48	V350166995_86.77	V350174473_26_1	V350174473_37.114	V350174473_42.57	V350174473_52.35	V350174473_66.56	V350174473_72.72_sub	V350181201_19_1	V350181201_30_2	V350181201_31.45	V350181201_44_2	V350181262_107.4	V350181262_108_1	V350181262_110_3	V350181262_117_2	V350181262_130_7	V350181262_134_29	V350181262_140_9	V350181262_142_6	V350181262_145_2	V350181262_149_1	V350181262_150_0	V350181262_158_8	V350181262_160_0	V350181262_98.46	V350181262_99.39	V350181321_113_0	V350181321_126_25	V350181321_132_0	V350181321_139_33	V350181323_162_0	V350181323_32_0	V350181323_34_8	V350181323_49_5	V350181323_51.95
V350166995_163.27	1.0	0.7809572443749438	0.8435303012099112	0.8049571423839164	0.9127983665404056	0.9025025383677224	0.8043859857145049	0.8642186976988793	0.8547956680656236	0.8040959889706327	0.7981655261278783	0.793348938722338	0.8702953106743289	0.820519029825445	0.817788216214483	0.8695215321588262	0.8356419318459989	0.7700407488186288	0.7920399792159968	0.8226786020418755	0.8543135167831108	0.813002414186324	0.7953795888051507	0.822764020444796	0.8576226862137419	0.8523373092156319	0.8592961307609515	0.7991133589107007	0.8480237023535732	0.8643921075960239	0.794797030496229	0.804223917689565	0.9236966374120612	0.93798794499925	0.7739840145896321	0.8329444930461949	0.8208622501575207	0.9055106712669087	0.8994466029607222	0.857994145818086	0.846885475509659	0.9468225502803932
V350166995_164_1	0.7223668129498781	1.0	0.7220206229852232	0.7057429092864215	0.7441026124739434	0.7412348142557951	0.7111525403718004	0.7335381745981756	0.7325451903734628	0.8549508761497752	0.8780570785108777	0.8675353778352329	0.7189030899717442	0.7185537941167074	0.7152652589216753	0.731072971660076	0.7046702570076387	0.8453954764311167	0.875255425112563	0.7145450413214935	0.7349492417045808	0.8515973062529136	0.7119347080407212	0.7329555435629801	0.7368852263037746	0.7311493343453357	0.7337934759592333	0.819057491956322	0.7250138789764654	0.7228581418701364	0.9796038120183732	0.7151221361396299	0.7427218521703015	0.7601528035652616	0.6844998192644194	0.7141377969484947	0.7092846413298177	0.7326067786632889	0.7398379652287272	0.7260652966391528	0.7394546068989506	0.7384465215569206
V350166995_166.87	0.820396291793918	0.7577523721937894	1.0	0.8216544038803092	0.8179704371905243	0.8161054096987661	0.8189405587993933	0.878705454772466	0.8911611508543624	0.7748697471898566	0.7762781526885635	0.744487956953022	0.7908035573150618	0.7661453078341199	0.8569111581776239	0.7873993345543002	0.8484546063914237	0.7418296332970309	0.7589103614678672	0.8509963818087708	0.8970631021257296	0.7806772025062109	0.7750260063334055	0.7724505644835027	0.9155546122378482	0.9022711536555443	0.8850304472342219	0.7771600666363337	0.8852745455254059	0.7797221930064657	0.7730257385807857	0.7850645121944075	0.8398089073516347	0.8470215403497457	0.7665125710388722	0.848943255626188	0.8550481359763105	0.8164877954558656	0.8129216154372341	0.7793832330066573	0.7842696980063719	0.8431718860590208
V350166995_168.28	0.9026999959413354	0.8561300620414414	0.9504628360358915	1.0	0.9213208041122188	0.9157727171747886	0.9208808246335146	0.9655929456040119	0.9516631267687493	0.86720360250308	0.8588453786870149	0.8420475637605253	0.8860372264995434	0.8787426221194288	0.9186632162910925	0.8928408684375688	0.9139160733720306	0.8400296933639712	0.854301392736344	0.9212079350215475	0.9603490243777854	0.8640080102935862	0.8761338919199583	0.8864421298295667	0.9638888218948338	0.9636466721811464	0.9574881318065119	0.8371358910378754	0.9468339619824361	0.8970136720195337	0.8602698539042499	0.881229952292692	0.9241651961676012	0.9304736747123458	0.8636225645041177	0.9202226787208146	0.9282802320700647	0.8986921721310871	0.9179674023754653	0.8770310113016235	0.8914634732091711	0.9153121702578045
V350166995_169_4	0.9077465858642846	0.8001515321094262	0.8377116192370375	0.8167608125181205	1.0	0.9813582620666043	0.8089253201985074	0.8489400409894542	0.8436506606010307	0.8037744714144537	0.8012360689285127	0.7866283515165267	0.9030956656247763	0.8531211923885167	0.8352739663784963	0.9189203978902543	0.8305335960550868	0.7930055504896799	0.8029115762088558	0.8146119407115384	0.8580633035182279	0.8187793184043973	0.8146257955712691	0.8621255258051997	0.845897373781308	0.854269336058269	0.8518550385741	0.794545196372777	0.8564223987116477	0.9054598626412547	0.8065213237889564	0.8162495708935609	0.9392020571676227	0.9741465921818248	0.7759760378661026	0.816740461893706	0.8301822903648265	0.9375031574898873	0.9272419343285668	0.892127577759728	0.8881380750741926	0.9323864146726186
V350166995_57_4	0.9022563453328984	0.8010856082499048	0.8401677392463954	0.8157280810772145	0.9864490579094962	1.0	0.8108786706322231	0.8467607798483368	0.8438172430861078	0.8039573072385243	0.8029782199381033	0.7875073016466974	0.8974355204109052	0.855024032342031	0.8364530475927829	0.9186704176783713	0.8279729755690066	0.7944205498275906	0.8030884883945283	0.8146380285852741	0.8579591292806461	0.8176254798108099	0.8166028376536407	0.8641708434377736	0.8454138239875487	0.8540617394958853	0.8490033466077326	0.7925415136689269	0.8563342359688536	0.9026562655287297	0.8073675959137893	0.8181396626421614	0.9355995504975085	0.9641485348296489	0.7783114196804617	0.816280932118934	0.8323347870022373	0.9326704038013772	0.9209346216077305	0.8905142873549592	0.8882451678853243	0.9274156848441021
V350166995_72.48	0.9140078167053991	0.8738235253710381	0.9586781612005828	0.9330653219600055	0.9242760259541153	0.9216215609374592	1.0	0.9802345323208367	0.9834928055190753	0.8804399131412967	0.8749535604720907	0.8605955123426269	0.9093685547531062	0.8898767437571055	0.9534738418572879	0.9090828336303132	0.9548901445928616	0.8536830690658779	0.8754473754937715	0.9202669771764339	0.9902935479290509	0.8798987902653201	0.8916790093638349	0.9013202431895938	0.9818008323740662	0.9841137336165519	0.9826397577338298	0.8510271527146642	0.9728161331030858	0.9028554239127099	0.8777007669826404	0.8990771011054245	0.9351631603708304	0.9361014416380264	0.8875175246232537	0.940967386282517	0.9613266525961969	0.9094369867641631	0.9320322736154418	0.895301651450507	0.9043281900100605	0.9445143437604216
V350166995_86.77	0.8642988647594758	0.7930861462034031	0.903671253536881	0.8609430787215187	0.8535617635605625	0.8469430973691849	0.8624524808651982	1.0	0.9125870626724164	0.8180471488944603	0.8002910740969865	0.7944133489022859	0.8328328774835382	0.8076271418910761	0.8787942919871277	0.8363640818945726	0.8809064184142726	0.7824015432787191	0.7954262951473572	0.8735460524446195	0.926950862364334	0.8080013091173573	0.8193353099432781	0.8159624294033587	0.9346077424529476	0.9277385320722631	0.934192623381449	0.7881475259829078	0.9173025475958909	0.831167261561416	0.7968696858034269	0.8241386249354873	0.8738884633229123	0.8683175931326536	0.8000939999296555	0.8776052184285972	0.8798698115838677	0.8476983881074711	0.8609140152687357	0.8224690133778101	0.8338905821043453	0.8604539995234142
V350174473_26_1	0.8533349713266489	0.7909220486045067	0.9161455348031282	0.8470292768308939	0.8466758312716962	0.8422069998255237	0.8642901985861849	0.9110464352763125	1.0	0.8168537906354479	0.8089620747823576	0.7893545209385956	0.8351417029603284	0.8042416347464092	0.8822822067529379	0.8237669206059474	0.8799599691663592	0.7738161446294523	0.7960765946518148	0.8746389970999936	0.9331979368383507	0.8067445197571232	0.8127627198199726	0.8198439410260029	0.9490898590459854	0.9239105869599685	0.939100774692303	0.8029276377199449	0.9041601102062754	0.8237004561680499	0.8027792303668575	0.8206559304901629	0.8835843658662289	0.878925388786435	0.8063128198952815	0.8992306483573078	0.8826400361723209	0.8446362517832383	0.858659416165362	0.8183126682598855	0.8209017386502108	0.8807537898929699
V350174473_37.114	0.751135827979835	0.8636348377410569	0.7451221289867966	0.7219945823984917	0.7553202822266786	0.7516227361041006	0.7235876974236549	0.7639254627922315	0.7645335360555126	1.0	0.846238088421842	0.8510503580115771	0.7367561962784214	0.7193105002245559	0.7270422672327516	0.7482314983495731	0.7293496019503061	0.8311366788230529	0.8371748500959093	0.7502394574199411	0.7542099675563381	0.9278428812672684	0.7279851781723651	0.731229837877628	0.7825936710349681	0.7503417505231875	0.7830083164962894	0.926886207052033	0.7523967299106159	0.738552435066598	0.8716076835217175	0.7322632132699584	0.7754499752044764	0.7659022560863311	0.6945524221823188	0.758530773220901	0.734302755601399	0.7644166276148701	0.76132574702123	0.7242097804616642	0.7422481002446634	0.7587649025450838
V350174473_42.57	0.739987985648135	0.8798477201565467	0.7387653051150821	0.7093430539971749	0.7468482576753294	0.7444252203029172	0.7138203309247408	0.7417215218955278	0.7513252123378671	0.8396899749275758	1.0	0.8561266663831815	0.7270951083567726	0.7214246961845883	0.7205548000483086	0.7344550003210393	0.709890689999953	0.8563373189331487	0.8590817314808274	0.7279665709638345	0.7367583436810269	0.8284474108950267	0.721069081169354	0.733604867225532	0.7638538911421195	0.7334896593474575	0.7515191282036707	0.8152273080923879	0.7333562161646222	0.7298295848423744	0.9082174406772233	0.7240444298374938	0.7637615004462324	0.7637589882012381	0.6922032335992774	0.7264815845763738	0.7190017181301991	0.7479427542735785	0.7469396455681335	0.7188188114776471	0.7431840309616383	0.7563702232072751
