	V350166995_163.27	V350166995_164_1	V350166995_166.87	V350166995_168.28	V350166995_169_4	V350166995_57_4	V350166995_72.48	V350166995_86.77	V350174473_26_1	V350174473_37.114	V350174473_42.57	V350174473_52.35	V350174473_66.56	V350174473_72.72_sub	V350181201_19_1	V350181201_30_2	V350181201_31.45	V350181201_44_2	V350181262_107.4	V350181262_108_1	V350181262_110_3	V350181262_117_2	V350181262_130_7	V350181262_134_29	V350181262_140_9	V350181262_142_6	V350181262_145_2	V350181262_149_1	V350181262_150_0	V350181262_158_8	V350181262_160_0	V350181262_98.46	V350181262_99.39	V350181321_113_0	V350181321_126_25	V350181321_132_0	V350181321_139_33	V350181323_162_0	V350181323_32_0	V350181323_34_8	V350181323_49_5	V350181323_51.95
V350166995_163.27	1.0	0.9723626352408483	0.9872424011286087	0.9865818272926974	0.9929702985654412	0.9928656406565058	0.9869241072294662	0.9874084866027285	0.9870560809159444	0.973141008473537	0.9698194329271516	0.9710245070676772	0.9930730561912108	0.9825790371441393	0.9870991405918392	0.9927429788633229	0.9870527081317046	0.9676759801909732	0.9670157047043761	0.9879762158801415	0.9879436457019639	0.9737444945142754	0.9811896952243403	0.9821996028872032	0.9878251742684409	0.9878935736350872	0.9867728416542382	0.9735655991279546	0.9876739115005237	0.992698417319505	0.9705586418342307	0.9816080398549851	0.9929814020626057	0.9936094695378351	0.9888859624229778	0.98795167287489	0.98799742115762	0.9934012073494243	0.9925595662460445	0.9934221795757677	0.9813789343815453	0.9954161872989024
V350166995_164_1	0.9723614998653431	1.0	0.9720702148096879	0.973866224485944	0.9729815287415513	0.9730485816436169	0.9741654481337928	0.9721969703961435	0.9719948684314288	0.9877965325220683	0.9883084277824458	0.9901875992588671	0.9722317270519838	0.9681893739562034	0.9731261080129204	0.9730418076485182	0.9731102585179129	0.9852762936474193	0.9850909436437735	0.9722660402118941	0.9724584446295061	0.9875408253322004	0.9731396675793348	0.9684393972411209	0.9720974320598645	0.9724870754620151	0.9726374865703775	0.9874376392598749	0.973198245320797	0.9723090250860114	0.9980270504551276	0.9732484763284072	0.9721150863101758	0.972168702796098	0.9715927448314806	0.970866390845515	0.9726788197940307	0.9722196284668428	0.9731245376916415	0.9717347201210875	0.9686767173318375	0.9731472357133738
V350166995_166.87	0.987519665026932	0.972032781807166	1.0	0.994478727873625	0.9886269624565849	0.9886668285656061	0.9941400912349191	0.9959149198362066	0.9948108735261656	0.9716498600016628	0.9681759473707857	0.9697802725622455	0.9876221184008949	0.9820399962023997	0.9951550710899808	0.9878563579978146	0.9938208692498551	0.9664485356618576	0.9657035356463723	0.9972542383818045	0.9959833002830063	0.9724580210778482	0.9830988437645509	0.9822808726406576	0.9966840585851631	0.9959862085939256	0.9947232788048357	0.9721056116728971	0.9949635975816981	0.9885368222951315	0.9699490620341636	0.9834015582024002	0.9870810551990791	0.9878152073054111	0.992979172279705	0.9928472662148277	0.9960793344959495	0.9883520840785489	0.98802784826599	0.9886228108839987	0.9814051262099555	0.9862832970309602
V350166995_168.28	0.9866472831342765	0.9738608662067841	0.994478727873625	1.0	0.9869814386556165	0.9869221832438344	0.9997729113752349	0.9957986989437541	0.9937272616442839	0.973631949160143	0.9708123804113403	0.9724599841071632	0.9863527169947125	0.9809108803950958	0.9956221835511295	0.9862450876005009	0.995754818466712	0.9682305001987008	0.968400456163692	0.9944194372354436	0.9961389159448998	0.9737881711908025	0.9821554207574931	0.9811287755599999	0.994554774729356	0.9961614652857621	0.9950999598692593	0.973707914683049	0.9962554983853662	0.9871230667130464	0.9724044127379697	0.9824371056130783	0.9863869103292803	0.9863337687122029	0.9911213786213786	0.9912247160973731	0.9963204413210938	0.9869614829457307	0.9864740722240478	0.986960439829728	0.9806316295324964	0.985438946584144
V350166995_169_4	0.9929685748887171	0.9729161126691533	0.9886196321603099	0.9868979015612024	1.0	0.9998562211602953	0.9869445438922418	0.9876535574103251	0.9878203163616589	0.9731285270932305	0.9704206187187117	0.971997073337484	0.9959199979482947	0.9836918036366039	0.9870520624713633	0.9954388791351618	0.9867796719766846	0.9675972534138724	0.9679965467524188	0.9889265451013179	0.9881687560662081	0.9739459467476465	0.9811816320066766	0.9830869331847512	0.989044553096243	0.9881102741855802	0.9873082248739634	0.9737371196391644	0.9880655793936596	0.9953460411798092	0.9715271852491677	0.9816129481480258	0.9960078796465578	0.9970370810504482	0.9878642583352835	0.9876408066989032	0.9881399624186283	0.9966837461756908	0.9951706094409561	0.9958521066771395	0.9820561751395164	0.9944529068735061
V350166995_57_4	0.9928692951172047	0.9729525970621745	0.9886196534748417	0.9868934820106097	0.9998562211602953	1.0	0.9869143736842416	0.9876157219647829	0.9877653290519085	0.9731105759780577	0.9704241734352237	0.9720115571125328	0.9958621983933812	0.9837163459053798	0.9870031794661868	0.9953472692652817	0.9868459868549659	0.967731575163112	0.9681561306591921	0.9888224024030312	0.9881060209790652	0.9738886561198019	0.9810408145154286	0.983142878997709	0.9888743413465112	0.9879976598846119	0.9872794227145822	0.9736713364293881	0.9880751501194277	0.9952739305863955	0.9715714535594931	0.9814913793557721	0.9959847874104735	0.9969479381633912	0.9877746589691119	0.9875323447055635	0.9879795707005476	0.9966110687769364	0.9950688166278243	0.9957622056319718	0.982087024220733	0.9944139705190872
V350166995_72.48	0.9869226536156989	0.9741719656746214	0.9941373529702117	0.9997729113752349	0.9870473122174149	0.986942394205945	1.0	0.9957600023022611	0.993557719932983	0.9739130897454114	0.9713766677227931	0.973079820301122	0.9863800191843779	0.9811638248811784	0.9956141648739756	0.9863485774668714	0.9960043087725613	0.9686579489236313	0.9684653792368438	0.9941883014207037	0.9961945079480128	0.9740582922096471	0.98221457651758	0.9812931254395713	0.9942217311850738	0.9961858570468312	0.9956547386611942	0.9737051617424228	0.9962449802751066	0.9872557471543972	0.972824247565406	0.982542317390704	0.9868039305505248	0.9865820590318826	0.9910454639529227	0.9909533449142831	0.996399339780581	0.9872920015010634	0.9864035193552474	0.9870245624321842	0.9809002832350883	0.9861070566215816
V350166995_86.77	0.9873640250464992	0.9721611369487185	0.9959420438693334	0.9957986989437541	0.987623719402009	0.987568679691586	0.9957600023022611	1.0	0.9948414893149139	0.9730712203261078	0.9699017660075612	0.9713298638016089	0.9869931193875733	0.9815547554193751	0.9958013189393139	0.9868218844586882	0.994871433683369	0.9673124123489966	0.9667920319022788	0.9957675505628752	0.9975508479500443	0.973066952777066	0.9829555293547216	0.9814423344837129	0.9959226161793653	0.9974957785454606	0.9963250974180331	0.9727564409567115	0.9962163932660594	0.9880021865017425	0.9706992378454229	0.9832018719743125	0.9868528375117492	0.9865886806638678	0.9920580396456502	0.9918970685666401	0.9975735813656695	0.9875720786716594	0.9868811600770364	0.9878388713592096	0.9811735500820339	0.9859575461785395
V350174473_26_1	0.9870406337473959	0.9719632154986597	0.9947236645326074	0.9937087331516329	0.9878216370717054	0.9877547640203875	0.9935495848010675	0.9948154211983004	1.0	0.9727850230536781	0.969286172948816	0.9715155277085252	0.9871657382040728	0.9817090312778579	0.9941963391288154	0.986994363187065	0.9930316766231395	0.9667924260028667	0.9660125298413265	0.9950178836069311	0.994938541218374	0.972744985474622	0.9829324188403582	0.9804806146985022	0.9946873316399244	0.9949493876292714	0.9943801337629005	0.9729825049745517	0.9939204931664531	0.9881949034502095	0.9699042635500462	0.9832532810371281	0.9868120323811799	0.9871068258156862	0.9924680800654145	0.9920900582383936	0.9955773984383284	0.9877850508767022	0.9871726847838921	0.9876415291050932	0.9814886084530535	0.9861476479564704
V350174473_37.114	0.9731509917948202	0.9877503152935676	0.9716494943633004	0.973597306393059	0.9731646114544332	0.9731738158320361	0.9739088059504144	0.9730497512345	0.9727313721948283	1.0	0.9854702934711482	0.988562505569299	0.9724371173138279	0.9690959995728737	0.9733809880906272	0.9739702701914839	0.9736069211125854	0.9830578517396104	0.9825882826040071	0.9728749811230795	0.9723642806145384	0.9970511002951088	0.9747432271910904	0.9691650923817541	0.9729645540040375	0.9722440600398053	0.9732094335694786	0.9973485850685131	0.9737608970177202	0.9727664423014429	0.9877223209088829	0.9748792621075836	0.9728543115216345	0.9721905859151504	0.9718159274467636	0.9722123961597996	0.9726177812853859	0.9729273631083862	0.9737959093887467	0.9720942330705079	0.9696111664394186	0.9741108075636588
V350174473_42.57	0.9699481898790248	0.9883326569041004	0.9682805823359756	0.9709382389941601	0.9705650015011109	0.970481403970478	0.9714338526381548	0.9699608664498705	0.9693448872625934	0.9856033599438053	1.0	0.9881562856871154	0.9695253724927562	0.9664188850917481	0.9705046527391893	0.9706638522427441	0.9707974390988606	0.9865515249487659	0.984418802865222	0.9692601979337876	0.9696363232208511	0.9859043312428588	0.9709888994588439	0.96631457111771	0.9689549681524671	0.9696086739268296	0.9696361862152308	0.9850424812925612	0.9705542729617858	0.9699083018059846	0.9877341951738909	0.9711306571073798	0.9693892280478913	0.9696802630823657	0.9687849702671403	0.9677566676014918	0.9693267611395064	0.969826590140586	0.9705975587132597	0.9692378830238695	0.9666236971069685	0.9708946434524794
V350174473_52.35	0.9710972778274743	0.990182978700168	0.9697821391112639	0.9724796330347402	0.9720420046268445	0.9720530615633418	0.973085906322032	0.9712845864582355	0.9715151612074707	0.9885472488507353	0.9881221157973814	1.0	0.9713044934403623	0.9677418842267129	0.9725215766622585	0.9721913474818017	0.972517279554771	0.9859889062780968	0.9848984517973814	0.9706343547217333	0.9714768503138479	0.988792619025892	0.973168257568094	0.9664946622214383	0.9703932835975393	0.971452107603018	0.9710523683654854	0.9884015025746113	0.9726785932206977	0.9715498816010009	0.9901296125054826	0.9733427586760021	0.970883466445889	0.9712869817207556	0.9705222211514064	0.9698846778010953	0.9715090343402485	0.9711051690448481	0.97233704156816	0.9707335209112025	0.9683618609739368	0.9723967766815288
V350174473_66.56	0.9930730363738901	0.9721487894285038	0.9875822740352442	0.9862659638768538	0.99591846078089	0.9958688580251875	0.9862764637488597	0.9869451522359021	0.9871303291025314	0.9724204526902129	0.9693401589413723	0.9712602840361848	1.0	0.9838944686957193	0.9859767605084614	0.9980827738377991	0.9863312299747067	0.9670571024597023	0.9674173551590322	0.9878351084071172	0.9874185475884649	0.9728839752390587	0.9810855231053316	0.9831631131742522	0.9879443827517713	0.987482842168507	0.9867285527498978	0.9725971039940935	0.987361448327312	0.9956306252993254	0.970595077810136	0.9813471614275002	0.9988343790104213	0.9965662878368151	0.9879012122138192	0.9875151945813264	0.9871296623526586	0.9968703478143186	0.9955590151511509	0.9961053175844911	0.982115171060067	0.99438572869907
V350174473_72.72_sub	0.9826181290925118	0.9682331517241298	0.9821272825574565	0.9809330490685476	0.9837632447509855	0.9837520102434624	0.981188997477252	0.9815841441364649	0.9817298194438802	0.9691088593928241	0.9663974266125401	0.9677558323903908	0.9838892565301768	1.0	0.9809687070353537	0.9837463821586334	0.9810108718159256	0.9631753950578669	0.9643158440857563	0.9821104093822399	0.9819222853587873	0.9690157773972211	0.979110069491629	0.9862605841325963	0.9822097796932879	0.9819106205310981	0.9814575848348064	0.9688418760335894	0.9811186101913407	0.9842796944060567	0.9675708075008531	0.9793515403642427	0.9842283079642368	0.9843022408964087	0.9824394067860488	0.9819711486725767	0.9818610885215473	0.984768428442776	0.9837745268622664	0.984491815187024	0.9859061525712498	0.9832882116029993
V350181201_19_1	0.9871130447512269	0.9730823217583446	0.995099031062855	0.9956221835511295	0.9870517615261322	0.9870099780781851	0.9956169794679218	0.9957057992338441	0.9941963514224129	0.9733454616375016	0.9704141200599944	0.9725145154014432	0.9861450638899534	0.9809353662846824	1.0	0.9859436957659757	0.9954189517061837	0.9678121383271145	0.9677923067781011	0.9948676729376781	0.9963392316614185	0.9736054011736528	0.9825321560352849	0.9811260549723857	0.9950213909817136	0.99615278512748	0.9959817218840654	0.9740676987310979	0.9957328444092135	0.9873956053637274	0.9716186360769817	0.982886460740917	0.9865140615122786	0.9867557322948703	0.9917269963817889	0.9918198830860648	0.9973283182025505	0.9873415076846738	0.986602340121116	0.9871616731572368	0.9804470900870463	0.9859479020658637
V350181201_30_2	0.9927492514076538	0.9729770544503327	0.987878658494279	0.9862268520761664	0.9954502937632019	0.9953485838577882	0.9863317147883456	0.9868734818742068	0.9869842017684859	0.9739526638290446	0.9706640886751309	0.9722051428941385	0.9980848659858693	0.9838102745174783	0.9859357923315633	1.0	0.9857383399498517	0.9677376507622673	0.9680670121920668	0.9877940864691802	0.987273158155267	0.9739760561151838	0.9812232331833527	0.9830592660661941	0.9876129189757512	0.9872562188441124	0.9866543551816667	0.973896243967263	0.9871565483558559	0.995009494613893	0.9716134328478108	0.981392384422714	0.998058727129263	0.9959369767489206	0.9875634473179027	0.9870739288834987	0.9870467883328066	0.9963168837351823	0.9950935789755552	0.9957293276856319	0.9822379399599566	0.9940779180416887
V350181201_31.45	0.9870396305941258	0.9731482991932144	0.9939005883586854	0.9956830289145969	0.986805124972379	0.9867838340331829	0.9959509457956992	0.9948235649356242	0.9930411906015596	0.9736216815107059	0.9707394307170355	0.9725366758087112	0.9863131195218077	0.9810125273002852	0.995416911733843	0.9856978329495959	1.0	0.9678411798974772	0.9677005613041363	0.9936247013607562	0.9956589765668522	0.9740459302452079	0.9824471159689074	0.9811451797978401	0.9937941452800839	0.9953267627332515	0.9951578763946475	0.9734567886354268	0.9962075613346226	0.9868622038986893	0.9718391241602073	0.9827239575050593	0.9866540073004995	0.9864108042727466	0.9915937937410786	0.9913163823242421	0.9964538066821571	0.9874000516150528	0.9862050322096423	0.986843395035347	0.9806392835095368	0.9859937925837712
V350181201_44_2	0.9676954008821086	0.9852743071866311	0.9664772997009162	0.9683233682590783	0.967612510290503	0.9677068306150582	0.9686866348144693	0.9672855023135027	0.9668588765885737	0.9831117214082079	0.986532069868943	0.9859944481972075	0.9670913030235201	0.9631814449459674	0.9678223723584365	0.9676944722719176	0.967935270045027	1.0	0.9846266190091856	0.9660880919851044	0.9670019026803628	0.9831653498799771	0.9683339146500136	0.9635362199345233	0.9660875928005455	0.9669245936096518	0.9671357384581949	0.982671559815645	0.9679137323265845	0.9670648835130427	0.985345914691788	0.9684404054015339	0.9670556955030549	0.9667908158383072	0.9662067995310668	0.9657333868888077	0.9669576154809995	0.9669277428121843	0.9678121040171236	0.9665029736111405	0.9640105977715487	0.9683440695540706
V350181262_107.4	0.9670153028255665	0.9850909436437735	0.9657172328486535	0.9684154114865966	0.9680587842009751	0.9681932962249453	0.9684792046942025	0.9668071275728793	0.9659290049591273	0.982553496509926	0.9844274346494741	0.9848518220332492	0.9673930385907797	0.9642681491193649	0.9678393938250882	0.9680262867012882	0.9676796362066641	0.9846306057320621	1.0	0.9658305021401465	0.9664395104590952	0.9828579556722392	0.9685828530497029	0.9642011758284289	0.9654433858573653	0.9666034786938454	0.9666284270166652	0.9816950943216108	0.9678821664194752	0.9675665019926822	0.9854307011191662	0.9686752790946568	0.9662943733712479	0.9670557616371706	0.9660679176287293	0.9649171814439461	0.9669773078477264	0.9668764309902795	0.9679036850619965	0.9671198581984335	0.9644244919587577	0.9677958324391357
V350181262_108_1	0.987854887454438	0.972250057994846	0.9972475107027884	0.9944183274770757	0.9889195920415913	0.9888414059600065	0.9941871756391075	0.9957257057948418	0.9950178836069311	0.9728084412502079	0.9691403897453047	0.9706292420722462	0.987910359627377	0.982109660578525	0.9948267623132839	0.9877770275408643	0.9936894157478571	0.9660839294579376	0.9657919692360496	1.0	0.9957413194308783	0.9724681362547628	0.9827887237445205	0.9822560054115664	0.9998306821082834	0.9957191132866151	0.995383770269222	0.9721333150457312	0.9949138173603641	0.9890882725624809	0.9701762800733055	0.983159728125998	0.9879681911759944	0.9876371823394104	0.9930671906408475	0.9929504225454301	0.996091711856715	0.9886998046370357	0.9876851183956258	0.9888281524428912	0.9815249440898166	0.9868568638824258
V350181262_110_3	0.9879246434269707	0.9724453464113414	0.9961020349864068	0.9961392690811023	0.9881989992552923	0.988152888914587	0.9961944997592648	0.9975056639091229	0.9949388718390285	0.9724141527291772	0.9694911984419474	0.9714627017630063	0.9874908387804108	0.9819007935964035	0.9963399120428399	0.9872825112842255	0.9957351362846415	0.9669683703754764	0.9664009292335008	0.9957706975595806	1.0	0.9731557885044445	0.9831279690101536	0.9818724856071877	0.9956105480434638	0.9998061852401726	0.9969704019302222	0.9729126208777774	0.9962767382924067	0.9885328139231307	0.970554259500213	0.983381854923942	0.9874106815475804	0.9874847898106104	0.9927815906244819	0.9924809638237493	0.9981074785647228	0.988443458898111	0.9875143921011023	0.9883222681678515	0.9814098336056367	0.9868669963853746
V350181262_117_2	0.9738029505263016	0.9874937230291654	0.9725038958395252	0.9737353906670763	0.9739707702362577	0.9739175774105059	0.974052483245512	0.9730497824014996	0.9727151753250413	0.9970539190349912	0.985850227097254	0.9888234984089305	0.9729146441898923	0.9690630958383462	0.9735523756125667	0.9739748562714144	0.973995433031685	0.9831924686250613	0.9828745815448484	0.9724598335276601	0.9731142691081316	1.0	0.9742810129008127	0.9688437893638835	0.9724278352890176	0.9732207474383284	0.9729689090382545	0.9997990507282987	0.9745084898066159	0.9732077390598268	0.9880669982805517	0.9744269053337655	0.9730646331915555	0.9729465194939942	0.9721721005634417	0.9715495801238663	0.9730498118983003	0.9733834722063861	0.9737602942343199	0.9721075765535935	0.9694442358552693	0.9746896265441801
V350181262_130_7	0.981139657806914	0.9731424180234378	0.9831543075692537	0.9821561906171768	0.9811813853765123	0.9810624877972661	0.9822420753906973	0.9829872521091825	0.9829128169970351	0.9748010711575695	0.9709557298876614	0.9731258503734498	0.9811195127193043	0.9791286753496174	0.9825640110362888	0.9811871748538773	0.9825090136701072	0.9683000291453392	0.9685606191506941	0.9828893374101376	0.9830953340790328	0.9742871852763286	1.0	0.9790112986182109	0.9829437236285132	0.9831130924192197	0.9829246855790319	0.9743913166486725	0.9828888488423928	0.981671613997834	0.9725731942123637	0.9994306800361199	0.9815964414667696	0.9815694963321236	0.9831749432962595	0.9832037360295618	0.9830384428072776	0.9815804585008172	0.9813358903762153	0.9812979813722238	0.9788565892163317	0.9812725854099928
V350181262_134_29	0.9822266840348577	0.9684878502253985	0.9823145622967158	0.9811267978002358	0.9831504665293426	0.9831152023939492	0.9813020644781645	0.9814903952577734	0.9804691261668271	0.9691655918257402	0.9662759872914477	0.9664400337829663	0.9832290700528715	0.9862372082774296	0.9811325959869533	0.9830592633700382	0.9811928542667178	0.9635449056742807	0.9643011523781957	0.982257590260443	0.9818369550089712	0.9688081941201131	0.9790319899558846	1.0	0.9823417762547922	0.9818017504469112	0.9815633901118593	0.9691166441215213	0.9811460826529763	0.9834333082994637	0.9676197547492689	0.9792984821553122	0.9835482496275394	0.9836412433337081	0.9824982234917797	0.9820969177032053	0.981971725389878	0.9839410364498854	0.9831309383232307	0.9837870885809831	0.9853547711024604	0.9825297606411403
