	V350166995_163.27	V350166995_164_1	V350166995_166.87	V350166995_168.28	V350166995_169_4	V350166995_57_4	V350166995_72.48	V350166995_86.77	V350174473_26_1	V350174473_37.114	V350174473_42.57	V350174473_52.35	V350174473_66.56	V350174473_72.72_sub	V350181201_19_1	V350181201_30_2	V350181201_31.45	V350181201_44_2	V350181262_107.4	V350181262_108_1	V350181262_110_3	V350181262_117_2	V350181262_130_7	V350181262_134_29	V350181262_140_9	V350181262_142_6	V350181262_145_2	V350181262_149_1	V350181262_150_0	V350181262_158_8	V350181262_160_0	V350181262_98.46	V350181262_99.39	V350181321_113_0	V350181321_126_25	V350181321_132_0	V350181321_139_33	V350181323_162_0	V350181323_32_0	V350181323_34_8	V350181323_49_5	V350181323_51.95
V350166995_163.27	0.0	70863.0	34140.0	34843.0	20626.0	20684.0	34042.0	35310.0	35841.0	70835.0	79004.0	75412.0	19370.0	46417.0	34068.0	20287.0	35017.0	82297.0	86266.0	32294.0	33327.0	69915.0	48786.0	47571.0	33912.0	33269.0	36709.0	69288.0	33753.0	20304.0	76884.0	48135.0	20745.0	19256.0	27738.0	32438.0	31880.0	19206.0	21448.0	18119.0	51494.0	13917.0
V350166995_164_1	70863.0	0.0	71687.0	65446.0	71397.0	71017.0	65031.0	72399.0	72873.0	36574.0	35733.0	29664.0	70956.0	81413.0	68164.0	70056.0	66994.0	43605.0	45659.0	70338.0	71771.0	37258.0	67698.0	82304.0	72927.0	71440.0	70789.0	35935.0	68917.0	71230.0	6781.0	67782.0	73424.0	75099.0	69094.0	73847.0	68811.0	72199.0	70594.0	72839.0	82578.0	70320.0
V350166995_166.87	34140.0	71687.0	0.0	15028.0	31064.0	30883.0	15886.0	11854.0	15543.0	74353.0	83655.0	76276.0	32687.0	45933.0	13867.0	31796.0	17112.0	84736.0	88607.0	7722.0	11537.0	72669.0	43649.0	45783.0	9732.0	11869.0	15488.0	73210.0	14838.0	29588.0	78932.0	43478.0	36143.0	34368.0	17944.0	20250.0	11158.0	31695.0	32367.0	29466.0	48760.0	38115.0
V350166995_168.28	34843.0	65446.0	15028.0	0.0	34826.0	34634.0	596.0	11602.0	17161.0	66975.0	73208.0	67867.0	35129.0	48723.0	11498.0	35533.0	11279.0	78391.0	79358.0	14724.0	10595.0	66396.0	45322.0	48614.0	15027.0	10576.0	13482.0	64479.0	10204.0	33351.0	69658.0	44922.0	36459.0	36776.0	22233.0	23274.0	9771.0	33827.0	35986.0	33117.0	50205.0	38741.0
V350166995_169_4	20626.0	71397.0	31064.0	34826.0	0.0	455.0	34045.0	34217.0	33334.0	71064.0	77896.0	72547.0	11857.0	45212.0	35226.0	13561.0	35709.0	85312.0	84943.0	29252.0	32826.0	70194.0	50056.0	47415.0	30212.0	32968.0	34736.0	68755.0	33025.0	13586.0	75641.0	49075.0	11979.0	9279.0	30588.0	32661.0	31972.0	9923.0	14420.0	11816.0	52103.0	16544.0
V350166995_57_4	20684.0	71017.0	30883.0	34634.0	455.0	0.0	34228.0	34108.0	33343.0	70699.0	77887.0	72208.0	11948.0	45111.0	35210.0	13791.0	35471.0	84661.0	84153.0	29310.0	32783.0	69908.0	50243.0	47380.0	30445.0	33080.0	34551.0	68314.0	32919.0	13675.0	75159.0	49175.0	11975.0	9409.0	30769.0	32662.0	32291.0	9997.0	14551.0	12003.0	51836.0	16639.0
V350166995_72.48	34042.0	65031.0	15886.0	596.0	34045.0	34228.0	0.0	11713.0	17929.0	66203.0	72249.0	66800.0	35510.0	47968.0	11775.0	35402.0	10889.0	77562.0	79971.0	15100.0	10611.0	65860.0	45232.0	48266.0	16012.0	10576.0	12029.0	64556.0	10377.0	32827.0	68900.0	44817.0	35282.0	35895.0	22657.0	24284.0	9770.0	32873.0	36267.0	33226.0	49472.0	37633.0
V350166995_86.77	35310.0	72399.0	11854.0	11602.0	34217.0	34108.0	11713.0	0.0	15162.0	72233.0	79025.0	74873.0	35106.0	48395.0	12074.0	35494.0	14606.0	84586.0	87062.0	11955.0	7485.0	71426.0	45192.0	49125.0	12393.0	7484.0	11230.0	70333.0	11103.0	32100.0	76664.0	44855.0	37279.0	37695.0	20512.0	23083.0	7008.0	34003.0	36395.0	32172.0	50981.0	39151.0
V350174473_26_1	35841.0	72873.0	15543.0	17161.0	33334.0	33343.0	17929.0	15162.0	0.0	73139.0	81774.0	73918.0	34776.0	47896.0	16439.0	34726.0	19685.0	84840.0	89696.0	13985.0	15153.0	72389.0	45112.0	52225.0	16182.0	14975.0	16964.0	71417.0	17886.0	31500.0	79833.0	44713.0	37755.0	36773.0	19742.0	22973.0	12445.0	33342.0	35709.0	32801.0	49801.0	39846.0
V350174473_37.114	70835.0	36574.0	74353.0	66975.0	71064.0	70699.0	66203.0	72233.0	73139.0	0.0	42200.0	33659.0	71288.0	78396.0	67924.0	68352.0	67425.0	48863.0	50760.0	71605.0	73004.0	9422.0	64209.0	79500.0	74354.0	73031.0	72900.0	8591.0	69033.0	70649.0	36926.0	64162.0	73894.0	74610.0	68643.0	74007.0	70601.0	72572.0	69915.0	71071.0	79374.0	68862.0
V350174473_42.57	79004.0	35733.0	83655.0	73208.0	77896.0	77887.0	72249.0	79025.0	81774.0	42200.0	0.0	35417.0	79147.0	86463.0	75530.0	76439.0	73572.0	40266.0	46762.0	79730.0	79704.0	40942.0	74168.0	88186.0	84373.0	79181.0	81272.0	43090.0	76789.0	78162.0	38468.0	73998.0	83204.0	82588.0	77055.0	83449.0	78529.0	80495.0	78286.0	78635.0	88294.0	78241.0
V350174473_52.35	75412.0	29664.0	76276.0	67867.0	72547.0	72208.0	66800.0	74873.0	73918.0	33659.0	35417.0	0.0	72256.0	81171.0	67997.0	70837.0	67937.0	40835.0	44498.0	72214.0	72540.0	32657.0	67225.0	86684.0	75781.0	72462.0	74191.0	32701.0	69164.0	72174.0	30127.0	67039.0	75653.0	75048.0	70795.0	75445.0	70675.0	74205.0	71351.0	73104.0	81939.0	71531.0
