	V350166995_163.27	V350166995_164_1	V350166995_166.87	V350166995_168.28	V350166995_169_4	V350166995_57_4	V350166995_72.48	V350166995_86.77	V350174473_26_1	V350174473_37.114	V350174473_42.57	V350174473_52.35	V350174473_66.56	V350174473_72.72_sub	V350181201_19_1	V350181201_30_2	V350181201_31.45	V350181201_44_2	V350181262_107.4	V350181262_108_1	V350181262_110_3	V350181262_117_2	V350181262_130_7	V350181262_134_29	V350181262_140_9	V350181262_142_6	V350181262_145_2	V350181262_149_1	V350181262_150_0	V350181262_158_8	V350181262_160_0	V350181262_98.46	V350181262_99.39	V350181321_113_0	V350181321_126_25	V350181321_132_0	V350181321_139_33	V350181323_162_0	V350181323_32_0	V350181323_34_8	V350181323_49_5	V350181323_51.95
V350166995_163.27	3190235.0	2562251.0	2725835.0	2602929.0	2932657.0	2899884.0	2600180.0	2792219.0	2762760.0	2636057.0	2625577.0	2606494.0	2795813.0	2664059.0	2643034.0	2794256.0	2700863.0	2538671.0	2612981.0	2656479.0	2758721.0	2663603.0	2586093.0	2672380.0	2769739.0	2752479.0	2778103.0	2618580.0	2739158.0	2777897.0	2612505.0	2613735.0	2967638.0	3011648.0	2496942.0	2689695.0	2650557.0	2907981.0	2890956.0	2755327.0	2753028.0	3034496.0
V350166995_164_1	2559348.0	3445080.0	2558888.0	2496586.0	2634678.0	2624343.0	2514950.0	2599368.0	2596389.0	2981762.0	3060762.0	3018346.0	2547416.0	2556809.0	2532196.0	2588383.0	2494728.0	2955978.0	3060961.0	2531884.0	2603668.0	2970835.0	2520370.0	2607381.0	2611496.0	2590130.0	2599095.0	2857617.0	2566518.0	2561227.0	3381485.0	2531371.0	2632133.0	2693758.0	2427104.0	2534089.0	2512178.0	2596007.0	2619193.0	2574111.0	2629856.0	2614206.0
V350166995_166.87	2729736.0	2561469.0	3285812.0	2714791.0	2718616.0	2712308.0	2706746.0	2899104.0	2943462.0	2620364.0	2634546.0	2522476.0	2630998.0	2563449.0	2829357.0	2619051.0	2805196.0	2522134.0	2582197.0	2803913.0	2959468.0	2637809.0	2590370.0	2583912.0	3018349.0	2976641.0	2923470.0	2626877.0	2923570.0	2591730.0	2618712.0	2623114.0	2795570.0	2817484.0	2536424.0	2809564.0	2820586.0	2714443.0	2703474.0	2590378.0	2625789.0	2809035.0
V350166995_168.28	2604086.0	2502169.0	2720279.0	2846255.0	2656903.0	2641062.0	2621657.0	2759919.0	2725774.0	2535129.0	2517987.0	2464556.0	2556781.0	2549799.0	2626247.0	2576695.0	2612328.0	2469390.0	2510903.0	2636707.0	2743993.0	2525382.0	2539008.0	2571569.0	2758494.0	2753353.0	2738675.0	2447040.0	2705060.0	2586435.0	2518034.0	2553044.0	2666712.0	2685060.0	2480110.0	2642376.0	2651880.0	2591699.0	2648594.0	2529234.0	2587447.0	2643707.0
V350166995_169_4	2928176.0	2634298.0	2714147.0	2650884.0	3203082.0	3143823.0	2625329.0	2753217.0	2735601.0	2645648.0	2644652.0	2592225.0	2904540.0	2777920.0	2710547.0	2956864.0	2695908.0	2625123.0	2656819.0	2638486.0	2781354.0	2692775.0	2659358.0	2808967.0	2739491.0	2769220.0	2763637.0	2613635.0	2776325.0	2913823.0	2659065.0	2663488.0	3020399.0	3129544.0	2516049.0	2648824.0	2691058.0	3012891.0	2984445.0	2869460.0	2896758.0	3003169.0
V350166995_57_4	2895819.0	2623740.0	2708135.0	2633957.0	3143914.0	3186644.0	2618243.0	2732161.0	2722251.0	2632718.0	2636791.0	2581765.0	2871690.0	2769759.0	2700577.0	2941160.0	2673624.0	2615948.0	2643331.0	2625306.0	2766920.0	2675338.0	2652512.0	2801022.0	2724343.0	2754653.0	2740330.0	2593840.0	2761766.0	2890103.0	2648074.0	2656284.0	2993442.0	3081804.0	2510898.0	2634037.0	2684625.0	2982195.0	2949234.0	2849829.0	2882149.0	2971945.0
V350166995_72.48	2597385.0	2515693.0	2704556.0	2617461.0	2626233.0	2618969.0	2804591.0	2760863.0	2776180.0	2535415.0	2526195.0	2480391.0	2585623.0	2543653.0	2685884.0	2584893.0	2688820.0	2471700.0	2535219.0	2596060.0	2787978.0	2533479.0	2546078.0	2576024.0	2769553.0	2770604.0	2767930.0	2451238.0	2738635.0	2564827.0	2530356.0	2566346.0	2657823.0	2661088.0	2511614.0	2663121.0	2705871.0	2583429.0	2650000.0	2543964.0	2585656.0	2686297.0
V350166995_86.77	2788627.0	2598878.0	2890548.0	2754271.0	2753260.0	2732063.0	2759207.0	3185692.0	2922296.0	2678166.0	2628597.0	2605455.0	2688113.0	2621200.0	2811372.0	2699979.0	2820763.0	2576717.0	2621022.0	2794677.0	2960230.0	2645289.0	2655410.0	2648556.0	2989562.0	2962909.0	2987027.0	2581114.0	2933342.0	2679997.0	2615209.0	2670308.0	2821028.0	2803795.0	2569258.0	2818619.0	2809812.0	2734490.0	2779065.0	2652389.0	2707491.0	2780182.0
V350174473_26_1	2759391.0	2597243.0	2939617.0	2720621.0	2735693.0	2721438.0	2776507.0	2922986.0	3191749.0	2680132.0	2663820.0	2593290.0	2700218.0	2614764.0	2832462.0	2663903.0	2828320.0	2554661.0	2630273.0	2805606.0	2993686.0	2647072.0	2639179.0	2668830.0	3045436.0	2963860.0	3014314.0	2633905.0	2903504.0	2660452.0	2641776.0	2663940.0	2857869.0	2841951.0	2593079.0	2893002.0	2829680.0	2729204.0	2776237.0	2644531.0	2669529.0	2850633.0
V350174473_37.114	2633008.0	2982613.0	2615964.0	2529697.0	2647639.0	2634653.0	2534468.0	2678119.0	2681128.0	3411253.0	2929294.0	2936737.0	2584498.0	2531999.0	2547949.0	2620621.0	2555442.0	2884080.0	2906421.0	2630612.0	2645923.0	3174468.0	2547688.0	2573772.0	2743805.0	2632678.0	2744568.0	3170249.0	2635776.0	2589922.0	3010233.0	2562302.0	2719067.0	2687422.0	2438007.0	2661497.0	2575413.0	2680178.0	2666960.0	2541382.0	2611352.0	2657130.0
